Month,Price,prediction,lower_CI,upper_CI
31-01-1950,34.73,895.5110675,428.7104981,1362.311637
28-02-1950,34.73,896.8809016,430.0803322,1363.681471
31-03-1950,34.73,898.2507357,431.4501663,1365.051305
30-04-1950,34.73,899.6205698,432.8200004,1366.421139
31-05-1950,34.73,900.9904039,434.1898346,1367.790973
30-06-1950,34.73,902.3602381,435.5596687,1369.160807
31-07-1950,34.73,903.7300722,436.9295028,1370.530642
31-08-1950,34.73,905.0999063,438.2993369,1371.900476
30-09-1950,34.73,906.4697404,439.669171,1373.27031
31-10-1950,34.73,907.8395745,441.0390051,1374.640144
30-11-1950,34.73,909.2094086,442.4088392,1376.009978
31-12-1950,34.72,910.5792427,443.7786734,1377.379812
31-01-1951,34.72,911.9490769,445.1485075,1378.749646
28-02-1951,34.73,913.318911,446.5183416,1380.11948
31-03-1951,34.73,914.6887451,447.8881757,1381.489314
30-04-1951,34.73,916.0585792,449.2580098,1382.859149
31-05-1951,34.73,917.4284133,450.6278439,1384.228983
30-06-1951,34.73,918.7982474,451.997678,1385.598817
31-07-1951,34.72,920.1680816,453.3675122,1386.968651
31-08-1951,34.71,921.5379157,454.7373463,1388.338485
30-09-1951,34.71,922.9077498,456.1071804,1389.708319
31-10-1951,34.71,924.2775839,457.4770145,1391.078153
30-11-1951,34.73,925.647418,458.8468486,1392.447987
31-12-1951,34.66,927.0172521,460.2166827,1393.817822
31-01-1952,34.49,928.3870862,461.5865169,1395.187656
29-02-1952,34.49,929.7569204,462.956351,1396.55749
31-03-1952,34.68,931.1267545,464.3261851,1397.927324
30-04-1952,34.82,932.4965886,465.6960192,1399.297158
31-05-1952,34.73,933.8664227,467.0658533,1400.666992
30-06-1952,34.53,935.2362568,468.4356874,1402.036826
31-07-1952,34.57,936.6060909,469.8055215,1403.40666
31-08-1952,34.58,937.975925,471.1753557,1404.776494
30-09-1952,34.51,939.3457592,472.5451898,1406.146329
31-10-1952,34.63,940.7155933,473.9150239,1407.516163
30-11-1952,34.72,942.0854274,475.284858,1408.885997
31-12-1952,34.79,943.4552615,476.6546921,1410.255831
31-01-1953,34.88,944.8250956,478.0245262,1411.625665
28-02-1953,34.95,946.1949297,479.3943603,1412.995499
31-03-1953,34.92,947.5647639,480.7641945,1414.365333
30-04-1953,34.93,948.934598,482.1340286,1415.735167
31-05-1953,34.9,950.3044321,483.5038627,1417.105001
30-06-1953,34.89,951.6742662,484.8736968,1418.474836
31-07-1953,34.91,953.0441003,486.2435309,1419.84467
31-08-1953,34.91,954.4139344,487.613365,1421.214504
30-09-1953,34.76,955.7837685,488.9831992,1422.584338
31-10-1953,34.79,957.1536027,490.3530333,1423.954172
30-11-1953,34.86,958.5234368,491.7228674,1425.324006
31-12-1953,34.85,959.8932709,493.0927015,1426.69384
31-01-1954,34.86,961.263105,494.4625356,1428.063674
28-02-1954,34.88,962.6329391,495.8323697,1429.433509
31-03-1954,34.92,964.0027732,497.2022038,1430.803343
30-04-1954,35.04,965.3726073,498.572038,1432.173177
31-05-1954,35.08,966.7424415,499.9418721,1433.543011
30-06-1954,35.07,968.1122756,501.3117062,1434.912845
31-07-1954,35.08,969.4821097,502.6815403,1436.282679
31-08-1954,35.05,,,
30-09-1954,35.08,,,
31-10-1954,35.08,,,
30-11-1954,35.06,,,
31-12-1954,35.04,,,
31-01-1955,35.04,,,
28-02-1955,35.05,,,
31-03-1955,35.06,,,
30-04-1955,35.05,,,
31-05-1955,35.05,,,
30-06-1955,35.04,,,
31-07-1955,35.05,,,
31-08-1955,35.03,,,
30-09-1955,34.98,,,
31-10-1955,34.98,,,
30-11-1955,34.98,,,
31-12-1955,34.97,,,
31-01-1956,34.99,,,
29-02-1956,34.99,,,
31-03-1956,34.99,,,
30-04-1956,34.98,,,
31-05-1956,34.99,,,
30-06-1956,34.98,,,
31-07-1956,35,,,
31-08-1956,35.02,,,
30-09-1956,35.01,,,
31-10-1956,35.02,,,
30-11-1956,34.98,,,
31-12-1956,34.9,,,
31-01-1957,34.88,,,
28-02-1957,34.89,,,
31-03-1957,34.91,,,
30-04-1957,34.92,,,
31-05-1957,34.93,,,
30-06-1957,34.99,,,
31-07-1957,34.99,,,
31-08-1957,34.97,,,
30-09-1957,34.96,,,
31-10-1957,34.97,,,
30-11-1957,34.97,,,
31-12-1957,34.99,,,
31-01-1958,35.01,,,
28-02-1958,35.08,,,
31-03-1958,35.09,,,
30-04-1958,35.1,,,
31-05-1958,35.11,,,
30-06-1958,35.1,,,
31-07-1958,35.11,,,
31-08-1958,35.1,,,
30-09-1958,35.1,,,
31-10-1958,35.11,,,
30-11-1958,35.1,,,
31-12-1958,35.09,,,
31-01-1959,35.07,,,
28-02-1959,35.06,,,
31-03-1959,35.06,,,
30-04-1959,35.08,,,
31-05-1959,35.12,,,
30-06-1959,35.12,,,
31-07-1959,35.13,,,
31-08-1959,35.12,,,
30-09-1959,35.13,,,
31-10-1959,35.1,,,
30-11-1959,35.06,,,
31-12-1959,35.05,,,
31-01-1960,35.09,,,
29-02-1960,35.09,,,
31-03-1960,35.09,,,
30-04-1960,35.11,,,
31-05-1960,35.1,,,
30-06-1960,35.09,,,
31-07-1960,35.1,,,
31-08-1960,35.13,,,
30-09-1960,35.22,,,
31-10-1960,35.78,,,
30-11-1960,35.82,,,
31-12-1960,35.54,,,
31-01-1961,35.56,,,
28-02-1961,35.17,,,
31-03-1961,35.08,,,
30-04-1961,35.08,,,
31-05-1961,35.06,,,
30-06-1961,35.07,,,
31-07-1961,35.11,,,
31-08-1961,35.16,,,
30-09-1961,35.19,,,
31-10-1961,35.19,,,
30-11-1961,35.19,,,
31-12-1961,35.15,,,
31-01-1962,35.16,,,
28-02-1962,35.13,,,
31-03-1962,35.09,,,
30-04-1962,35.08,,,
31-05-1962,35.08,,,
30-06-1962,35.1,,,
31-07-1962,35.12,,,
31-08-1962,35.12,,,
30-09-1962,35.13,,,
31-10-1962,35.14,,,
30-11-1962,35.09,,,
31-12-1962,35.08,,,
31-01-1963,35.06,,,
28-02-1963,35.08,,,
31-03-1963,35.1,,,
30-04-1963,35.1,,,
31-05-1963,35.08,,,
30-06-1963,35.08,,,
31-07-1963,35.09,,,
31-08-1963,35.1,,,
30-09-1963,35.08,,,
31-10-1963,35.08,,,
30-11-1963,35.08,,,
31-12-1963,35.08,,,
31-01-1964,35.08,,,
29-02-1964,35.08,,,
31-03-1964,35.08,,,
30-04-1964,35.08,,,
31-05-1964,35.08,,,
30-06-1964,35.08,,,
31-07-1964,35.08,,,
31-08-1964,35.08,,,
30-09-1964,35.09,,,
31-10-1964,35.11,,,
30-11-1964,35.1,,,
31-12-1964,35.12,,,
31-01-1965,35.13,,,
28-02-1965,35.14,,,
31-03-1965,35.16,,,
30-04-1965,35.14,,,
31-05-1965,35.1,,,
30-06-1965,35.1,,,
31-07-1965,35.12,,,
31-08-1965,35.15,,,
30-09-1965,35.14,,,
31-10-1965,35.11,,,
30-11-1965,35.11,,,
31-12-1965,35.13,,,
31-01-1966,35.15,,,
28-02-1966,35.17,,,
31-03-1966,35.15,,,
30-04-1966,35.13,,,
31-05-1966,35.12,,,
30-06-1966,35.15,,,
31-07-1966,35.18,,,
31-08-1966,35.18,,,
30-09-1966,35.19,,,
31-10-1966,35.16,,,
30-11-1966,35.16,,,
31-12-1966,35.18,,,
31-01-1967,35.18,,,
28-02-1967,35.17,,,
31-03-1967,35.16,,,
30-04-1967,35.17,,,
31-05-1967,35.18,,,
30-06-1967,35.19,,,
31-07-1967,35.19,,,
31-08-1967,35.19,,,
30-09-1967,35.19,,,
31-10-1967,35.19,,,
30-11-1967,35.2,,,
31-12-1967,35.19,,,
31-01-1968,35.18,,,
29-02-1968,35.2,,,
31-03-1968,35.2,,,
30-04-1968,37.878,,,
31-05-1968,40.691,,,
30-06-1968,41.111,,,
31-07-1968,39.53,,,
31-08-1968,39.17,,,
30-09-1968,40.203,,,
31-10-1968,39.21,,,
30-11-1968,39.795,,,
31-12-1968,41.113,,,
31-01-1969,42.291,,,
28-02-1969,42.616,,,
31-03-1969,43.171,,,
30-04-1969,43.295,,,
31-05-1969,43.461,,,
30-06-1969,41.442,,,
31-07-1969,41.755,,,
31-08-1969,41.128,,,
30-09-1969,40.865,,,
31-10-1969,40.476,,,
30-11-1969,37.452,,,
31-12-1969,35.189,,,
31-01-1970,34.946,,,
28-02-1970,34.994,,,
31-03-1970,35.089,,,
30-04-1970,35.623,,,
31-05-1970,35.958,,,
30-06-1970,35.437,,,
31-07-1970,35.329,,,
31-08-1970,35.377,,,
30-09-1970,36.196,,,
31-10-1970,37.553,,,
30-11-1970,37.455,,,
31-12-1970,37.434,,,
31-01-1971,37.868,,,
28-02-1971,38.716,,,
31-03-1971,38.873,,,
30-04-1971,39.001,,,
31-05-1971,40.493,,,
30-06-1971,40.105,,,
31-07-1971,40.929,,,
31-08-1971,42.722,,,
30-09-1971,41.976,,,
31-10-1971,42.473,,,
30-11-1971,42.842,,,
31-12-1971,43.455,,,
31-01-1972,45.64,,,
29-02-1972,48.237,,,
31-03-1972,48.288,,,
30-04-1972,49.026,,,
31-05-1972,54.5,,,
30-06-1972,62.17,,,
31-07-1972,65.558,,,
31-08-1972,66.917,,,
30-09-1972,65.589,,,
31-10-1972,64.824,,,
30-11-1972,62.726,,,
31-12-1972,63.779,,,
31-01-1973,65.127,,,
28-02-1973,73.971,,,
31-03-1973,84.105,,,
30-04-1973,90.441,,,
31-05-1973,101.623,,,
30-06-1973,119.8,,,
31-07-1973,120.364,,,
31-08-1973,106.225,,,
30-09-1973,103.034,,,
31-10-1973,99.923,,,
30-11-1973,94.645,,,
31-12-1973,106.236,,,
31-01-1974,129.027,,,
28-02-1974,150,,,
31-03-1974,168.298,,,
30-04-1974,172.243,,,
31-05-1974,163.568,,,
30-06-1974,154.013,,,
31-07-1974,142.283,,,
31-08-1974,154.362,,,
30-09-1974,151.66,,,
